Pct_Delta,PCT_Change,M_P_NTV,M_P_STR,M_P_DIS_BAN,M_P_RAD,M_P_DIS_AFF,M_P_CEM,M_P_SEM,M_P_Total_Social,TlncT_P_NTV,TlncT_P_STR,TlncT_P_DIS_BAN,TlncT_P_RAD,TlncT_P_DIS_AFF,TlncT_P_CEM,TlncT_P_SEM,TlncT_P_Total_Social,CPT_P_NTV,CPT_P_STR,CPT_P_DIS_BAN,CPT_P_RAD,CPT_P_DIS_AFF,CPT_P_CEM,CPT_P_SEM,CPT_P_Total_Social,MCPT_P_NTV,MCPT_P_STR,MCPT_P_DIS_BAN,MCPT_P_RAD,MCPT_P_DIS_AFF,MCPT_P_CEM,MCPT_P_SEM,MCPT_P_Total_Social,nMCPT_P_NTV,nMCPT_P_STR,nMCPT_P_DIS_BAN,nMCPT_P_RAD,nMCPT_P_DIS_AFF,nMCPT_P_CEM,nMCPT_P_SEM,nMCPT_P_Total_Social,nMTIncT_P_NTV,nMTIncT_P_STR,nMTIncT_P_DIS_BAN,nMTIncT_P_RAD,nMTIncT_P_DIS_AFF,nMTIncT_P_CEM,nMTIncT_P_SEM,nMTIncT_P_Total_Social
0.2,2,103253.4966,40098.58169,7458.116428,4819.14,1417.72,256.46444,19561.6948,70953.46861,107907.2811,26949.00724,7981.532916,1897.07783,1197.208943,101.8823111,19077.34731,68307.35031,0.956872377,1.487942815,0.934421559,2.540296409,1.184187613,2.517261702,1.025388618,1.038738412,3.586946479,3.509068497,1.985353115,4.757674079,2.027404421,3.377027621,2.258841364,2.53280727,3.516135944,3.455154978,1.957415144,4.69897038,2.005157696,3.354595329,2.226006492,2.493006175,5873.123124,2321.0873,762.0372663,205.1147213,141.407332,15.29033548,1757.559546,5692.201594
0.238095238,2.1,108416.1714,42103.51077,7831.022249,5060.097,1488.606,269.287662,20539.77954,74501.14204,109346.5763,27520.36374,8169.361377,1947.723796,1232.17286,105.6795031,19510.35016,69708.03858,0.99149123,1.529903862,0.958584385,2.597954088,1.208114582,2.548154128,1.052763245,1.068759695,3.713421237,3.605666623,2.03545684,4.863089157,2.067394409,3.4174879,2.317707736,2.604095566,3.643153185,3.55259281,2.008019949,4.805623969,2.045672684,3.39576371,2.285433811,2.564890788,5951.776712,2370.297584,779.9745469,210.5906344,145.5370658,15.86021202,1797.451271,5809.303257
0.227272727,2.2,113578.8463,44108.43986,8203.928071,5301.054,1559.492,282.110884,21517.86428,78048.81547,110736.8508,28076.41323,8352.566353,1997.271932,1266.460463,109.4317393,19932.35537,71070.38237,1.025664406,1.571014057,0.982204477,2.654147347,1.231378353,2.577962168,1.079544483,1.098190454,3.838295042,3.70034936,2.084459883,4.965886447,2.106300685,3.456559712,2.375326381,2.67400831,3.76852702,3.648054876,2.057487832,4.909568713,2.085064693,3.435486998,2.34357295,2.635357027,6027.758095,2418.189493,797.4703854,215.9478484,149.5869174,16.42334168,1836.329804,5923.206204
0.217391304,2.3,118741.5211,46113.36894,8576.833892,5542.011,1630.378,294.934106,22495.94902,81596.4889,112081.8946,28618.2348,8531.464409,2045.794386,1300.114728,113.1415615,20344.12394,72397.10728,1.059417505,1.611328206,1.005317901,2.708977518,1.254026253,2.606770686,1.105771332,1.127068359,3.96165807,3.793237545,2.132433872,5.066243308,2.144198964,3.494349421,2.431777607,2.742631526,3.892351881,3.741668442,2.105894345,5.010992053,2.123413861,3.473878286,2.400508568,2.704495455,6101.273714,2464.855967,814.5550048,221.1941644,153.5619627,16.98010591,1874.265255,6034.137624
0.208333333,2.4,123904.1959,48118.29803,8949.739713,5782.968,1701.264,307.757328,23474.03376,85144.16233,113385.0547,29146.78832,8706.337744,2093.355663,1333.17416,116.8112638,20746.33372,73690.63629,1.092773613,1.650895374,1.027956872,2.762534863,1.276100341,2.634654553,1.131478654,1.155427156,4.083591798,3.884439599,2.179442943,5.164318106,2.181156703,3.530951116,2.487133371,2.810042446,4.014712923,3.833547443,2.153306982,5.110060955,2.160791408,3.51103735,2.456316353,2.772387196,6172.505895,2510.379681,831.255347,226.3365565,157.4667498,17.530849,1911.320074,6142.299491
0.2,2.5,129066.8708,50123.22711,9322.645535,6023.925,1772.15,320.58055,24452.1185,88691.83576,114649.3032,29662.93204,8877.439182,2140.013711,1365.673429,120.4429261,21139.59158,74953.13445,1.125753643,1.689759699,1.050150313,2.814900189,1.297638192,2.661680187,1.156697773,1.183297222,4.204170162,3.974053255,2.225544794,5.260252931,2.217234298,3.566448472,2.541458456,2.876310725,4.135687282,3.923794368,2.199786333,5.206924895,2.197260956,3.547052702,2.5110643,2.839105269,6241.616541,2554.834551,847.5955499,231.3812902,161.3053738,18.0758831,1947.550168,6247.872295
0.192307692,2.6,134229.5456,52128.15619,9695.551356,6264.882,1843.036,333.403772,25430.20324,92239.50919,115877.2922,30167.43687,9044.996277,2185.820824,1397.643889,124.0384419,21524.44333,76186.5455,1.158376615,1.72796106,1.071924306,2.866146178,1.318673529,2.687906804,1.181456953,1.210706019,4.323460527,4.062166989,2.270791562,5.354175844,2.25248607,3.600916254,2.594811437,2.941499456,4.25534512,4.012501824,2.245387039,5.301718315,2.23287961,3.582003254,2.564813771,2.904715686,6308.750139,2598.286978,863.5973386,236.3340196,165.0815379,18.61549241,1983.005825,6351.01808
0.185185185,2.7,139392.2204,54133.08528,10068.45718,6505.839,1913.922,346.226994,26408.28798,95787.18262,117071.3993,30660.99834,9209.214705,2230.824389,1429.114006,127.5995417,21901.38199,77392.62202,1.190659898,1.765535639,1.093302469,2.916338477,1.339236752,2.713387442,1.205781809,1.237678478,4.441524496,4.148861211,2.315230541,5.44620273,2.286961081,3.63442157,2.647245488,3.005666009,4.373750497,4.099753828,2.290158578,5.394562648,2.267698843,3.615959687,2.61762037,2.969278369,6374.03622,2640.796865,879.2803496,241.1998683,168.7986044,19.14993661,2017.732463,6451.882963
0.178571429,2.8,144554.8952,56138.01436,10441.363,6746.796,1984.808,359.050216,27386.37272,99334.85605,118233.7648,31144.24639,9370.281094,2275.067508,1460.109724,131.1278121,22270.85461,78572.95058,1.222619405,1.802516383,1.114306273,2.965536616,1.359355374,2.738169808,1.229695636,1.264237315,4.558418592,4.234209267,2.358904796,5.536438859,2.320703814,3.667024896,2.698809055,3.068862742,4.490962108,4.18562689,2.334145928,5.485568011,2.301765244,3.648985578,2.669534672,3.032847915,6437.5914,2682.418469,894.662401,245.9834966,172.4596377,19.67945383,2051.77127,6550.599228
0.172413793,2.9,149717.5701,58142.94345,10814.26882,6987.753,2055.694,371.873438,28364.45746,102882.5295,119366.3231,31617.75371,9528.365397,2318.589528,1490.654768,134.6247128,22633.26808,79728.97277,1.254269765,1.838933404,1.134955301,3.013794773,1.379054389,2.762296983,1.253219701,1.290403299,4.674194845,4.318278284,2.401853674,5.624980191,2.353754745,3.698780945,2.749546431,3.131137592,4.60703391,4.270190926,2.377390116,5.574834622,2.335121133,3.681138337,2.720602845,3.095474238,6499.521079,2723.201115,909.7597189,250.6891585,176.06744,20.20426314,2085.159729,6647.287076
