Pct_Delta,PCT_Change,M_P_LTV,M_P_STR,M_P_YOT,M_P_CIN,M_P_DIS,M_P_SEM,M_P_Paid_Social,M_P_DCI,M_P_DRD,M_P_LRD,TlncT_P_LTV,TlncT_P_STR,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DIS,TlncT_P_SEM,TlncT_P_Paid_Social,TlncT_P_DCI,TlncT_P_DRD,TlncT_P_LRD,CPT_P_LTV,CPT_P_STR,CPT_P_YOT,CPT_P_CIN,CPT_P_DIS,CPT_P_SEM,CPT_P_Paid_Social,CPT_P_DCI,CPT_P_DRD,CPT_P_LRD,MCPT_P_LTV,MCPT_P_STR,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DIS,MCPT_P_SEM,MCPT_P_Paid_Social,MCPT_P_DCI,MCPT_P_DRD,MCPT_P_LRD,nMCPT_P_LTV,nMCPT_P_STR,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DIS,nMCPT_P_SEM,nMCPT_P_Paid_Social,nMCPT_P_DCI,nMCPT_P_DRD,nMCPT_P_LRD,nMTIncT_P_LTV,nMTIncT_P_STR,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DIS,nMTIncT_P_SEM,nMTIncT_P_Paid_Social,nMTIncT_P_DCI,nMTIncT_P_DRD,nMTIncT_P_LRD
0.2,2,50710.8624,85386.07896,21269.67038,14528.06776,103120.2708,50231.88605,102890.5416,4772.086298,27742.16453,8448.065,25781.19263,34246.61461,8052.258281,6467.1014,32083.44326,28045.51283,32429.90573,1809.517822,11558.57099,4193.882034,1.966971161,2.493270647,2.641454067,2.246457394,3.214127296,1.791084597,3.17270554,2.637214312,2.40013792,2.014378309,7.394186144,8.503384536,7.929553818,7.749140288,9.518748853,6.542082364,9.634235392,8.257046772,8.288887441,7.178822599,7.518670936,8.640667054,8.051158847,7.875609105,9.663619795,6.650667267,9.462261445,8.385567093,8.42278971,7.297436612,1348.931555,1976.377019,528.3629547,368.9382641,2134.195528,1510.581842,2174.755838,113.8166625,658.740524,231.535139
0.238095238,2.1,53246.40552,89655.38291,22333.1539,15254.47115,108276.2843,52743.48035,108035.0687,5010.690613,29129.27276,8870.46825,26111.66036,34731.23254,8181.951761,6557.546586,32607.38702,28415.69661,32963.88968,1837.44722,11720.09511,4250.627859,2.039181147,2.58140516,2.729563136,2.326246706,3.320605979,1.856138918,3.277376235,2.726984786,2.48541266,2.086860705,7.672589233,8.80962854,8.199976767,8.031421254,9.840776749,6.784722754,9.941739892,8.543124348,8.587622882,7.443776689,7.794626109,8.944008308,8.318818223,8.155271819,9.982318542,6.89111366,9.771690548,8.668772767,8.718689049,7.559983577,1366.23373,2004.814393,536.9309271,374.1008635,2169.361433,1530.76797,2211.184813,115.6032289,668.2030428,234.668982
0.227272727,2.2,55781.94864,93924.68686,23396.63742,15980.87453,113432.2978,55255.07466,113179.5957,5249.294928,30516.38099,9292.8715,26430.69857,35199.79502,8307.568996,6644.961864,33114.99094,28773.2626,33481.35716,1864.485342,11876.26447,4305.448505,2.11049846,2.668330506,2.816303715,2.404961061,3.425406277,1.920361811,3.380376584,2.81541228,2.569526898,2.158398013,7.947459038,9.111493414,8.466063709,8.309798904,10.15755265,7.024142019,10.24436503,8.824736788,8.882076982,7.705185591,8.067167656,9.243120484,8.582292744,8.4311647,10.29594877,7.128448352,10.07610027,8.947668037,9.010453584,7.819106122,1382.937631,2032.315537,545.2304674,379.0905552,2203.435552,1550.269341,2246.496019,117.3332517,677.3550455,237.6965181
0.217391304,2.3,58317.49176,98193.99081,24460.12094,16707.27792,118588.3114,57766.66896,118324.1228,5487.899243,31903.48921,9715.27475,26739.19625,35653.53023,8429.415194,6729.579828,33607.47505,29119.18698,33983.53832,1890.699385,12027.48904,4358.492522,2.180973998,2.754116918,2.901757759,2.482662863,3.528629008,1.983800887,3.481807036,2.902576309,2.652547769,2.229044721,8.219002279,9.40924104,8.728081327,8.584505699,10.4694007,7.260529852,10.54239956,9.102156223,9.172505385,7.963258988,8.336490236,9.538250172,8.841833442,8.703506627,10.60481559,7.362849976,10.37579378,9.2225091,9.298324041,8.075001688,1399.089787,2058.951884,553.2816492,383.9206113,2236.499265,1569.138829,2280.772446,119.0109803,686.2202064,240.6259497
0.208333333,2.4,60853.03488,102463.2948,25523.60446,17433.68131,123744.3249,60278.26326,123468.6499,5726.503557,33290.59744,10137.678,27037.93811,36093.52374,8547.760587,6811.606008,34085.91983,29454.3318,34471.52277,1916.14881,12174.13118,4409.891126,2.250653679,2.838827694,2.985998988,2.559408353,3.63036484,2.046499092,3.581757926,2.98854845,2.734535791,2.298849951,8.487404922,9.70310671,8.986268807,8.855750537,10.77661156,7.494056843,10.83610365,9.375626875,9.459137808,8.218185385,8.602769463,9.829619546,9.097666094,8.972494849,10.90919336,7.594479625,10.67104364,9.493526517,9.582517339,8.327848277,1414.731271,2084.786584,561.1022475,388.60276,2268.624651,1587.423135,2314.087619,120.6401762,694.8194564,243.464522
0.2,2.5,63388.578,106732.5987,26587.08798,18160.0847,128900.3384,62789.85756,128613.177,5965.107872,34677.70567,10560.08125,27327.62061,36520.74025,8662.845722,6891.223009,34551.28723,29779.46244,34946.28079,1940.886518,12316.51287,4459.760844,2.319579114,2.922520135,3.069094017,2.635248442,3.730695692,2.108495333,3.680310868,3.07339343,2.815545767,2.367858192,8.752835065,9.993302847,9.240841719,9.123722053,11.07944715,7.724877138,11.12571273,9.645368977,9.742181665,8.470135072,8.866164482,10.1174297,9.349994708,9.238307934,11.20932994,7.823483236,10.96209605,9.760928741,9.863229833,8.577807099,1429.898535,2109.875767,568.7080862,393.1474211,2299.875892,1605.163728,2346.507027,122.2241865,703.1714003,246.2186694
0.192307692,2.6,65924.12112,111001.9027,27650.5715,18886.48809,134056.352,65301.45187,133757.7041,6203.712187,36064.81389,10982.4845,27608.86496,36936.0413,8774.885762,6968.593869,35004.43788,30095.2619,35408.68057,1964.9598,12454.92161,4508.205681,2.387788169,3.005246333,3.151103302,2.710229415,3.829695893,2.169825007,3.777539912,3.157170028,2.89562753,2.436109902,9.01544531,10.28002207,9.491995218,9.388591325,11.37814452,7.953130626,11.41144074,9.911582023,10.02182505,8.719262549,9.126820107,10.40186339,9.599004402,9.501108212,11.50545018,8.049993559,11.2491743,10.02490503,10.14064001,8.825024758,1444.624094,2134.269573,576.1133205,397.5638981,2330.310417,1622.397618,2378.089281,123.7660042,711.2926573,248.8941346
0.185185185,2.7,68459.66424,115271.2066,28714.05502,19612.89147,139212.3655,67813.04617,138902.2311,6442.316502,37451.92212,11404.88775,27882.22784,37340.1998,8884.074027,7043.864821,35446.14518,30402.34238,35859.50244,1988.411129,12589.61534,4555.318884,2.45531543,3.087053825,3.232081918,2.784393507,3.927433147,2.230520442,3.873512506,3.239931826,2.974826563,2.503642015,9.275374752,10.56343974,9.739906704,9.650514138,11.67291913,8.178944773,11.69348281,10.17444745,10.29823924,8.965708556,9.384868611,10.68308737,9.84486381,9.761043813,11.79775888,8.27413181,11.53248175,10.28562787,10.41491072,9.069635086,1458.937084,2158.01299,583.3306702,401.8605356,2359.979839,1639.157986,2408.887075,125.2683178,719.1981403,251.4960666
0.178571429,2.8,70995.20736,119540.5105,29777.53854,20339.29486,144368.3791,70324.64047,144046.7582,6680.920817,38839.03035,11827.291,28148.21016,37733.91205,8990.584936,7117.167576,35877.10702,30701.25501,36299.45067,2011.278804,12720.82639,4601.184412,2.5221926,3.167986144,3.312080221,2.857779397,4.023969351,2.290611262,3.968290306,3.321727849,3.053184531,2.570488366,9.532750633,10.84371612,9.984738043,9.909632878,11.96396753,8.402436147,11.97201757,10.43413089,10.57158074,9.209601771,9.640431238,10.96125433,10.0877271,10.01825039,12.08644325,8.49600906,11.81220426,10.54325505,10.68619111,9.311760688,1472.863726,2181.146554,590.3716117,406.0448494,2388.930739,1655.474705,2438.947973,126.7335521,726.901287,254.0291014
0.172413793,2.9,73530.75048,123809.8145,30841.02206,21065.69825,149524.3926,72836.23477,149191.2853,6919.525132,40226.13857,12249.69425,28407.26446,38117.80781,9094.576451,7188.621226,36297.9556,30992.49785,36729.16329,2033.597496,12848.76488,4645.878154,2.588448831,3.248083288,3.391144406,2.93042262,4.119361273,2.350124702,4.061929865,3.402603094,3.130739721,2.636680051,9.787689752,11.12099813,10.22663744,10.16607812,12.25146965,8.623711717,12.24720903,10.69078408,10.8419931,9.451060248,9.89361948,11.2365045,10.3277357,10.27285259,12.37167497,8.715727418,12.08851225,10.79793136,10.95461816,9.551514244,1486.427705,2203.706935,597.2465401,410.1236355,2417.205316,1671.374775,2468.315079,128.1639029,734.414253,256.4974293
